the 3734 4.605498476756663
of 2167 2.6727678626490867
and 2154 2.6567337222640206
to 2084 2.570396043267511
a 1651 2.0363358289033884
” 1519 1.873527634224256
he 1510 1.8624270754961332
i 1389 1.7131862303735954
you 1310 1.6157479926489633
that 1309 1.6145145972347275
it 1273 1.570112362322237
in 1205 1.486241474154199
was 1073 1.323433279475067
his 990 1.2210614600934915
is 898 1.1075890819837932
had 828 1.0212514029872837
with 656 0.8091073917387176
him 653 0.80540720549601
for 580 0.715369340256793
as 570 0.7030353861144345
have 556 0.6857678503151325
at 554 0.6833010594866609
me 518 0.6388988245741702
not 460 0.567361890548491
be 452 0.5574947272346041
her 436 0.5377604006068306
she 420 0.518026073979057
dorian 384 0.47362383906656635
one 377 0.46499007116691543
are 369 0.4551229078530286
on 357 0.4403221628821984
what 345 0.4255214179113682
but 344 0.4242880224971324
there 321 0.3959199279697078
would 305 0.3761856013419342
they 302 0.37248541509922667
“i 289 0.3564512747141606
all 282 0.3478175068145097
said 262 0.32314959852979264
my 257 0.31698262145861344
from 252 0.3108156443874342
were 251 0.3095822489731983
lord 247 0.30464866731625495
so 243 0.2997150856593115
been 236 0.29108131775966056
don’t 233 0.28738113151695305
am 230 0.2836809452742455
an 223 0.27504717737459455
henry 223 0.27504717737459455
some 222 0.27381378196035866
about 221 0.2725803865461228
life 220 0.271346991131887
who 217 0.2676468048891794
or 215 0.26518001406070774
by 214 0.26394661864647184
when 213 0.262713223232236
like 210 0.2590130369895285
if 210 0.2590130369895285
your 204 0.2516126645041134
them 202 0.2491458736756417
will 200 0.24667908284716997
no 189 0.2331117332905756
gray 187 0.23064494246210393
know 175 0.21584419749127373
do 173 0.213377406662802
man 170 0.20967722042009446
over 169 0.20844382500585865
has 167 0.20597703417738694
never 166 0.20474363876315108
into 159 0.19610987086350015
we 158 0.19487647544926429
out 156 0.19240968462079258
harry 156 0.19240968462079258
their 155 0.19117628920655672
must 153 0.18870949837808504
up 149 0.18377591672114163
basil 144 0.17760893964996238
this 140 0.17267535799301897
then 140 0.17267535799301897
could 135 0.16650838092183973
now 132 0.16280819467913218
more 131 0.16157479926489632
own 130 0.16034140385066048
things 128 0.15787461302218878
its 126 0.1554078221937171
think 125 0.15417442677948123
“you 124 0.15294103136524537
see 122 0.1504742405367737
good 122 0.1504742405367737
than 121 0.14924084512253785
us 121 0.14924084512253785
thing 120 0.14800744970830199
something 120 0.14800744970830199
very 119 0.14677405429406612
which 118 0.14554065887983028
seemed 118 0.14554065887983028
any 117 0.14430726346559444
should 115 0.14184047263712274
come 115 0.14184047263712274
go 114 0.1406070772228869
how 113 0.13937368180865103
time 110 0.1356734955659435
made 109 0.13444010015170765
love 109 0.13444010015170765
face 107 0.13197330932323592
eyes 107 0.13197330932323592
always 107 0.13197330932323592
only 106 0.13073991390900008
himself 106 0.13073991390900008
want 105 0.12950651849476424
after 103 0.12703972766629254
quite 102 0.1258063322520567
room 102 0.1258063322520567
really 100 0.12333954142358498
too 100 0.12333954142358498
back 100 0.12333954142358498
down 100 0.12333954142358498
away 98 0.12087275059511329
came 97 0.11963935518087745
say 97 0.11963935518087745
did 97 0.11963935518087745
can 96 0.11840595976664159
cried 95 0.11717256435240574
night 95 0.11717256435240574
looked 94 0.1159391689381699
people 94 0.1159391689381699
look 91 0.11223898269546234
world 90 0.11100558728122649
tell 90 0.11100558728122649
nothing 89 0.10977219186699065
answered 87 0.10730540103851893
much 87 0.10730540103851893
going 87 0.10730540103851893
little 86 0.1060720056242831
through 84 0.10360521479581139
upon 83 0.10237181938157554
thought 82 0.1011384239673397
hallward 81 0.09990502855310383
once 80 0.09867163313886798
round 80 0.09867163313886798
mr 79 0.09743823772463214
ever 78 0.09620484231039629
shall 78 0.09620484231039629
sibyl 78 0.09620484231039629
told 77 0.09497144689616044
such 76 0.09373805148192459
felt 76 0.09373805148192459
day 76 0.09373805148192459
